strideIndex,timestamp
4.690000000000000000e+02,2.350038542000000064e+00
7.490000000000000000e+02,3.749965363999999912e+00
1.019000000000000000e+03,5.100014368000000076e+00
1.289000000000000000e+03,6.449806579999999734e+00
1.579000000000000000e+03,7.899796766999999775e+00
1.859000000000000000e+03,9.299770987000000488e+00
2.134000000000000000e+03,1.067496167900000081e+01
2.394000000000000000e+03,1.197496117700000084e+01
2.669000000000000000e+03,1.334987471900000067e+01
2.949000000000000000e+03,1.474979769800000007e+01
3.239000000000000000e+03,1.619974313000000166e+01
3.524000000000000000e+03,1.762487849600000089e+01
3.819000000000000000e+03,1.909976119299999908e+01
4.084000000000000000e+03,2.042487650099999996e+01
4.369000000000000000e+03,2.184986410999999862e+01
4.649000000000000000e+03,2.324963272500000144e+01
4.929000000000000000e+03,2.464964852499999992e+01
5.209000000000000000e+03,2.604979864499999920e+01
5.489000000000000000e+03,2.744956250199999914e+01
5.794000000000000000e+03,2.897482362699999925e+01
6.084000000000000000e+03,3.042462153199999975e+01
6.752000000000000000e+03,3.376468687700000260e+01
