strideIndex,timestamp
3.190000000000000000e+02,1.600039042999999994e+00
5.740000000000000000e+02,2.875170596999999884e+00
8.090000000000000000e+02,4.050115127999999842e+00
1.069000000000000000e+03,5.350260610000000305e+00
1.309000000000000000e+03,6.550174417000000027e+00
1.554000000000000000e+03,7.775139922000000148e+00
1.804000000000000000e+03,9.025019902000000371e+00
2.039000000000000000e+03,1.020008210900000023e+01
2.289000000000000000e+03,1.145017272399999975e+01
2.534000000000000000e+03,1.267497889600000072e+01
2.764000000000000000e+03,1.382511695600000046e+01
3.024000000000000000e+03,1.512495272199999974e+01
3.279000000000000000e+03,1.639995026900000141e+01
3.519000000000000000e+03,1.759994164300000108e+01
3.774000000000000000e+03,1.887492019999999826e+01
4.014000000000000000e+03,2.007490871099999907e+01
4.269000000000000000e+03,2.134997348399999950e+01
4.514000000000000000e+03,2.257489504000000125e+01
4.754000000000000000e+03,2.377486568000000133e+01
4.974000000000000000e+03,2.487487246699999943e+01
5.239000000000000000e+03,2.619977917299999959e+01
5.479000000000000000e+03,2.739987699199999938e+01
5.724000000000000000e+03,2.862485878400000061e+01
5.979000000000000000e+03,2.989984261400000065e+01
6.239000000000000000e+03,3.119981338899999912e+01
6.479000000000000000e+03,3.239985665700000084e+01
7.524000000000000000e+03,3.762475043100000249e+01
