displacement,heading_change
1.110839533563773296e+00,1.538764413500580241e+00
1.157737830249530475e+00,2.867676577069913968e+00
1.255199488389298956e+00,-2.090465708629448915e+00
1.450221089650409745e+00,-1.141962964590279350e+00
1.451777979100593807e+00,-1.429136250720459689e-01
1.503365124219908866e+00,8.068740772786223703e-01
1.416252022274689937e+00,1.571489047252154769e+00
1.340758404436143358e+00,2.717272718988362534e+00
1.561901933054558045e+00,-2.749385369470009444e+00
1.494853623435158152e+00,-1.683636836083196364e+00
1.511705335981054832e+00,-3.544384601286994507e-01
1.354051500924240647e+00,6.132364094651192588e-01
1.212948911137949004e+00,1.275261697373396119e+00
1.254214842792700679e+00,2.666142617105882628e+00
1.043831967061282118e+00,-2.200133723371697769e+00
1.029435849030715167e+00,-1.276809467328893444e+00
