strideIndex,timestamp
5.070000000000000000e+02,2.540186990000000034e+00
7.350000000000000000e+02,3.680220311999999883e+00
9.420000000000000000e+02,4.715194540999999795e+00
1.148000000000000000e+03,5.745291197000000238e+00
1.342000000000000000e+03,6.715188082000000058e+00
1.536000000000000000e+03,7.685141385999999741e+00
1.745000000000000000e+03,8.730185494000000546e+00
1.955000000000000000e+03,9.780194956000000772e+00
2.149000000000000000e+03,1.075019703499999935e+01
2.342000000000000000e+03,1.171518592800000036e+01
2.556000000000000000e+03,1.278512905700000069e+01
2.762000000000000000e+03,1.381511215599999964e+01
2.974000000000000000e+03,1.487515178700000007e+01
3.191000000000000000e+03,1.596001470799999922e+01
3.385000000000000000e+03,1.693028544399999902e+01
3.594000000000000000e+03,1.797502831499999942e+01
3.808000000000000000e+03,1.904510815900000154e+01
4.025000000000000000e+03,2.013007366300000101e+01
4.240000000000000000e+03,2.120507263300000034e+01
4.451000000000000000e+03,2.226002598000000177e+01
4.667000000000000000e+03,2.334006098000000051e+01
4.877000000000000000e+03,2.439005142099999901e+01
5.695000000000000000e+03,2.848001120300000011e+01
