displacement,heading_change
1.042369076474016554e+00,-2.982673020080776283e+00
1.138464050159790020e+00,1.931705021138376832e+00
1.268470354721991766e+00,2.100709896635416241e-01
1.250365969021604684e+00,-2.276442536091618229e-01
6.940515800640202349e-01,1.101067564011876998e+00
1.215538310270882993e+00,3.036014207445952628e+00
1.206276951000049946e+00,-2.840685982196121451e+00
1.308225109896071769e+00,-1.792838771059391823e+00
9.798892440302914286e-01,-7.653089614590495859e-01
1.147106454005290654e+00,2.710252721382099272e-01
1.450413334873237092e+00,1.469384934912834284e+00
1.034845540322842705e+00,2.420966044402685036e+00
1.036094090767900378e+00,-2.632794934234247819e+00
1.366391543253755003e+00,-1.699389539788927150e+00
1.163594380538760742e+00,-4.898226837393428457e-01
1.023730510788862569e+00,8.019077869242799972e-01
1.396763829287929637e+00,1.578196933796533807e+00
1.054941912983913266e+00,2.783880102673486068e+00
9.473979027701050493e-01,-2.360091929035413649e+00
1.416852248108035894e+00,-1.615426723055700453e+00
1.079236527507247079e+00,-6.249742858604621087e-01
1.026751911375017201e+00,5.980515258750740415e-01
1.459744071081342076e+00,1.545476158977908687e+00
9.596474674300355945e-01,2.336111732741449121e+00
8.374039785239152378e-01,-1.971147787302254928e+00
1.208176732946878662e+00,-1.149500659044875528e+00
