displacement,heading_change
1.074490321533008386e+00,-1.778226674289914655e+00
1.285056493223151408e+00,3.071605809792535169e+00
1.106887553685037773e+00,1.928990791747055900e+00
1.314064211522124825e+00,1.108724959924643372e+00
1.303835302160755383e+00,2.999044111519734157e-01
1.459593915920230245e+00,-9.469745208922806246e-01
1.578576027838578089e+00,-2.050812846658294664e+00
1.547017197622252871e+00,3.125692396717604460e+00
1.692429186412464537e+00,1.848192383728581190e+00
1.596323017843505943e+00,8.451270030101712960e-01
1.533092593297448403e+00,-2.737983472850727962e-01
1.689701086592748869e+00,-1.520098018170594534e+00
1.428527534716088399e+00,-2.438386102049333815e+00
1.556730334258023429e+00,2.819422921512191316e+00
1.617132929640523242e+00,1.667111590149648048e+00
1.549204579821729988e+00,5.684580323091499299e-01
1.535390547748812118e+00,-6.876715989820987307e-01
1.019485024373069981e+00,-2.120489699195791555e+00
