displacement,heading_change
1.304353055577936793e+00,-2.467046142466637448e+00
1.269236522837379866e+00,2.370049039829184689e+00
1.335065311032289204e+00,1.469837348470011573e+00
1.343790026253488978e+00,5.282784529318065303e-01
1.304074156710165910e+00,-1.081500843802163797e-01
1.343945753012194766e+00,-1.187761736679769697e+00
1.328829711104664080e+00,-1.927282467595828663e+00
1.234476145144582260e+00,-2.618642681316748710e+00
1.352623220966199913e+00,2.704342191642088888e+00
1.364246611343762572e+00,1.729838428615606549e+00
1.361893083510510971e+00,8.544471472592121142e-01
1.336967015380889467e+00,6.075582456229308009e-02
1.371039273838179806e+00,-1.131568444362778036e+00
1.397059693406200065e+00,-2.138741604231562565e+00
1.375057035118033566e+00,-3.134210103061513486e+00
1.205347031428820603e+00,1.743362671936179886e+00
1.304444704467929705e+00,-3.603640600235245156e-02
7.060320071059792424e-01,6.949486537386877494e-01
7.789854468706418622e-01,2.496347350480981664e+00
1.123521043955348464e+00,-2.750982467027754286e+00
1.129689583419486443e+00,-1.825930086513779305e+00
1.191298776835436835e+00,-6.566661712115234861e-01
1.011936868021235947e+00,3.312269821677665260e-01
1.203347115634711750e+00,1.318535878548368512e+00
6.337431831731186183e-01,2.999961980638357062e+00
8.528586024964355250e-01,-1.704362434380777502e+00
