displacement,heading_change
9.716653984787504417e-01,-2.504342319008129980e+00
1.119327794089085337e+00,2.394331262471665500e+00
1.134305709110149163e+00,1.279324674824715125e+00
1.178728443067676324e+00,3.288563457857199279e-01
1.190678336639084289e+00,-6.544649088638339052e-01
1.202382164187006053e+00,-1.653012795051330475e+00
1.247006966884100398e+00,-2.713345939683571739e+00
1.128271635047737087e+00,2.743624435314645282e+00
1.204388500392888695e+00,1.644817462737764524e+00
1.193136355659791592e+00,7.473272352997920587e-01
1.138393585300313759e+00,9.552745493533008891e-02
1.148668161181960023e+00,-1.165348801577432258e+00
1.155796535013709159e+00,-1.866575268304867530e+00
1.035242123221131294e+00,-2.391652829461528018e+00
1.208331517877019978e+00,2.753303864939503409e+00
1.205377448765370341e+00,1.843362661829849092e+00
1.178072921695712649e+00,9.553752433903160979e-01
1.159477508538026003e+00,2.605623311060967229e-01
1.091556663181118436e+00,-5.909399757304240053e-01
1.139340186097314023e+00,-1.812408608194567616e+00
8.403742921300929591e-01,-3.098350991281117572e+00
