strideIndex,timestamp
7.010000000000000000e+02,3.510082947999999980e+00
8.380000000000000000e+02,4.194873469000000021e+00
9.730000000000000000e+02,4.869861934000000225e+00
1.109000000000000000e+03,5.549840414000000166e+00
1.244000000000000000e+03,6.224832391999999714e+00
1.385000000000000000e+03,6.929793197000000404e+00
1.532000000000000000e+03,7.664782397999999830e+00
1.684000000000000000e+03,8.424940339999999139e+00
1.830000000000000000e+03,9.154824919999999366e+00
1.976000000000000000e+03,9.884906472000000832e+00
2.122000000000000000e+03,1.061470994199999929e+01
2.265000000000000000e+03,1.132963465099999922e+01
2.419000000000000000e+03,1.209967333600000039e+01
2.565000000000000000e+03,1.282977255900000024e+01
2.703000000000000000e+03,1.351962781900000010e+01
2.851000000000000000e+03,1.425973742500000085e+01
3.005000000000000000e+03,1.502971048300000056e+01
3.151000000000000000e+03,1.575965572399999992e+01
3.297000000000000000e+03,1.648947468600000121e+01
3.433000000000000000e+03,1.716964161900000008e+01
3.573000000000000000e+03,1.786942155799999910e+01
3.723000000000000000e+03,1.861944820900000153e+01
3.876000000000000000e+03,1.938454984199999842e+01
4.023000000000000000e+03,2.011955958500000108e+01
4.178000000000000000e+03,2.089417799499999973e+01
5.078000000000000000e+03,2.539414661300000020e+01
