displacement,heading_change
7.843348832944307958e-01,-1.820233341565828500e+00
1.238413844451603962e+00,-3.058922288753575636e+00
1.144483039555641346e+00,1.997657997254258966e+00
1.253281411579010518e+00,1.207300633527461642e+00
1.374827337417255713e+00,1.065748498060762640e-02
8.885620188556155874e-01,-2.499353469490415425e-01
6.576019416091493097e-01,1.993271395942967317e+00
1.351659267175015611e+00,-2.984271982890904340e+00
1.197017202501230004e+00,-2.050770859789420086e+00
1.174865592862778030e+00,-8.567974198950718545e-01
9.801757954320317046e-01,5.895328991805987018e-01
1.356438455958861811e+00,1.985718222205402395e+00
1.164332444594533555e+00,6.535522319158942883e-01
1.212166084136716782e+00,-1.062675361461571599e+00
1.448803124453983182e+00,-1.974175832566037458e+00
1.451198578555949359e+00,-2.889178683334062026e+00
1.369868044822089903e+00,2.333602857634324401e+00
1.295088811169499809e+00,1.159127046546372553e+00
1.310260134763857387e+00,8.718003869605496503e-02
1.466497127345504969e+00,-1.137712983076172302e+00
8.077449744667392073e-01,-2.764707557894951151e+00
