displacement,heading_change
8.120629381012876846e-02,3.668166205317345639e-03
1.640020049929056811e-01,1.432029631363380788e-02
2.270500814023265201e-01,2.159740994269352121e-01
1.411498974333938450e-01,-5.746478561382508676e-01
2.925245712627846939e-01,2.601009124214874180e-01
2.960937489350510265e-01,1.377238728020244718e+00
3.453704444579209776e-01,-1.921843497082602825e+00
5.112723133867329572e-01,-2.339707187120458443e+00
4.892900886017798046e-01,-2.619724961605291558e+00
5.987397956959309431e-01,2.884565791924392553e+00
5.482730690676712593e-01,2.023131914071908177e+00
5.561440251861823336e-01,1.532875357185567777e+00
6.601279093887801874e-01,8.010432035472809797e-01
6.708231707147098710e-01,1.552980177189823008e-01
7.315391136027206143e-01,-7.399532650945817025e-01
8.584524818042249539e-01,-2.137865454147342081e+00
8.052322771969250281e-01,-2.941842246845087772e+00
4.366840282521006200e-01,5.664928265031017318e-01
