displacement,heading_change
8.854699466446698253e-01,-2.461461373973621747e+00
1.001543817992687657e+00,1.877398036481438881e+00
1.109323692123804106e+00,8.404483227392046674e-01
1.079011794583318862e+00,-2.640932109765514180e-01
1.185633061904758589e+00,-1.414966101688910793e+00
1.105052939659782796e+00,-2.219686252287579986e+00
1.222146920821812976e+00,3.129742495054914198e+00
1.108034203988372379e+00,2.341722305660574044e+00
1.022489200220217720e+00,1.541577869507712029e+00
1.128235814848558283e+00,1.999768953853659215e-01
1.176673575970565322e+00,-1.117655814310702489e+00
6.280119432887864006e-01,-4.927030469784824396e-01
8.901610454365430636e-01,1.160941252354658504e+00
8.567680814321529947e-01,2.515009979552725650e+00
1.075072755856698370e+00,-2.121228193997401590e+00
1.092740333284537790e+00,-1.868857063911637528e+00
8.287483129287830375e-01,2.280301662278666708e+00
1.187535933662276610e+00,3.532609248083822262e-01
2.158205983963063790e-01,2.787782618007087279e-02
