displacement,heading_change
1.240838826120511440e+00,9.489662574442456755e-01
1.355690340531558569e+00,2.469078202989525295e+00
1.654735209235784321e+00,-2.578132094256360585e+00
1.738259768266871896e+00,-1.277992055780113434e+00
1.725351143284069577e+00,-6.690902934791653767e-02
1.661250669623845599e+00,8.531511440338067631e-01
1.551370330019931298e+00,2.102336672489829361e+00
1.717906883590725853e+00,-3.037849266534424775e+00
1.797201305678837402e+00,-1.964215330137022875e+00
1.753526299559486690e+00,-5.554167950180693980e-01
1.722664882324006053e+00,6.464577722095388168e-01
1.480902038359843020e+00,1.764662828807694428e+00
1.549419925813770416e+00,3.009543001888046021e+00
1.650760754018507193e+00,-2.233894996128777510e+00
1.558026914796647233e+00,-1.084917281855672266e+00
1.695820664333598682e+00,1.916579990543522682e-01
1.617821099040429811e+00,1.251759018575654414e+00
1.603106455254529994e+00,2.482299023157190199e+00
1.739390816754798452e+00,-2.705146746626748477e+00
1.680853623824369203e+00,-1.516633774870405293e+00
1.674330752025148694e+00,-2.029758049306075729e-01
1.684964018505182626e+00,9.315066930650465205e-01
1.492144405128451146e+00,2.311238211558936939e+00
1.308210418777325357e+00,-2.124208677712175142e+00
6.458908432548110534e-01,-8.206073882030119337e-01
