strideIndex,timestamp
2.860000000000000000e+02,1.429773808000000201e+00
4.980000000000000000e+02,2.489649056999999832e+00
7.280000000000000000e+02,3.639557123000000338e+00
9.740000000000000000e+02,4.869465828000000052e+00
1.206000000000000000e+03,6.029382228999999427e+00
1.435000000000000000e+03,7.174307345999999974e+00
1.656000000000000000e+03,8.279241562000001053e+00
1.884000000000000000e+03,9.419192314000000010e+00
2.115000000000000000e+03,1.057414531999999951e+01
2.336000000000000000e+03,1.167912673999999917e+01
2.560000000000000000e+03,1.279911423000000070e+01
2.791000000000000000e+03,1.395407963000000073e+01
3.015000000000000000e+03,1.507404994999999914e+01
3.240000000000000000e+03,1.619902802000000008e+01
3.467000000000000000e+03,1.733399963000000099e+01
3.702000000000000000e+03,1.850900268999999909e+01
3.935000000000000000e+03,1.967400931999999969e+01
4.153000000000000000e+03,2.076401329000000118e+01
4.397000000000000000e+03,2.198398972000000029e+01
4.627000000000000000e+03,2.313397597999999888e+01
4.854000000000000000e+03,2.426896477000000019e+01
5.076000000000000000e+03,2.537896346999999864e+01
5.297000000000000000e+03,2.648398780999999857e+01
5.536000000000000000e+03,2.767902184000000076e+01
5.771000000000000000e+03,2.885394095999999919e+01
6.009000000000000000e+03,3.004376601999999963e+01
6.239000000000000000e+03,3.119362067999999866e+01
6.467000000000000000e+03,3.233348465000000260e+01
6.693000000000000000e+03,3.346336746000000062e+01
6.920000000000000000e+03,3.459826660000000231e+01
7.156000000000000000e+03,3.577817534999999793e+01
7.381000000000000000e+03,3.690313339000000070e+01
7.614000000000000000e+03,3.806809235000000058e+01
7.832000000000000000e+03,3.915805435000000045e+01
8.060000000000000000e+03,4.029801941000000198e+01
8.304000000000000000e+03,4.151799010999999950e+01
8.528000000000000000e+03,4.263795471000000248e+01
8.753000000000000000e+03,4.376294708000000355e+01
8.983000000000000000e+03,4.491294478999999740e+01
9.215000000000000000e+03,4.607295608999999814e+01
9.447000000000000000e+03,4.723292542000000083e+01
9.683000000000000000e+03,4.841291045999999909e+01
9.922000000000000000e+03,4.960789489999999802e+01
1.016100000000000000e+04,5.080287552000000062e+01
1.038900000000000000e+04,5.194287491000000045e+01
1.062500000000000000e+04,5.312288284000000260e+01
1.086700000000000000e+04,5.433288955999999814e+01
1.108900000000000000e+04,5.544289016999999831e+01
1.131900000000000000e+04,5.659289550999999818e+01
1.155500000000000000e+04,5.777284241000000264e+01
1.178800000000000000e+04,5.893765258999999901e+01
1.201700000000000000e+04,6.008250045999999855e+01
1.226000000000000000e+04,6.129735183999999748e+01
1.248500000000000000e+04,6.242226028000000326e+01
1.271300000000000000e+04,6.356219100999999938e+01
1.294400000000000000e+04,6.471710967999999298e+01
1.317400000000000000e+04,6.586703491000000099e+01
1.341200000000000000e+04,6.705697632000000397e+01
1.364000000000000000e+04,6.819692992999999603e+01
1.388200000000000000e+04,6.940689849999999694e+01
1.420300000000000000e+04,7.101189422999999579e+01
1.460000000000000000e+04,7.299685669000000132e+01
