strideIndex,timestamp
2.390000000000000000e+02,1.200111887999999905e+00
4.890000000000000000e+02,2.450238854000000188e+00
7.490000000000000000e+02,3.750196116000000135e+00
1.004000000000000000e+03,5.024988622000000404e+00
1.239000000000000000e+03,6.199995480000000114e+00
1.484000000000000000e+03,7.424791110000000138e+00
1.724000000000000000e+03,8.624644668000000181e+00
1.954000000000000000e+03,9.774692848000000822e+00
2.229000000000000000e+03,1.114966732299999919e+01
2.504000000000000000e+03,1.252468273200000048e+01
2.749000000000000000e+03,1.374963570299999915e+01
3.019000000000000000e+03,1.509954466900000014e+01
3.259000000000000000e+03,1.629964526999999919e+01
3.594000000000000000e+03,1.797461403200000163e+01
3.889000000000000000e+03,1.944956957000000131e+01
4.209000000000000000e+03,2.104953055200000023e+01
4.918000000000000000e+03,2.459462575699999931e+01
