displacement,heading_change
5.971735925293832903e-01,-6.056753295135739595e-02
6.801840100492959618e-01,2.986347658635057356e-01
6.877012285889395615e-01,1.030995284172061099e+00
6.343526880776606536e-01,2.086690737881846225e+00
6.330763242398897983e-01,2.822921782338939423e+00
5.364560938890798880e-01,-3.041740886910039077e+00
5.326737443810376504e-01,-2.905144018954167073e+00
6.669013558251374318e-01,-2.183102996842970711e+00
5.207280960848348350e-01,-1.609821424802663881e+00
5.057824160492917498e-01,-1.254682691125837302e+00
4.022319459567746947e-01,-1.055220489394157024e+00
4.396734554898495406e-01,-6.729993360787138723e-01
6.970585198500055535e-01,1.405468855685415401e-02
5.618921542958839055e-01,3.462025180202863428e-01
6.610311989149758594e-01,9.379353720643794912e-01
5.809580474545497086e-01,1.555750952833751644e+00
6.568742853635766155e-01,2.374320564443559878e+00
6.036550977818140318e-01,-2.878106597319226800e+00
5.118600118077336614e-01,-2.346643417963129252e+00
4.099110023376449363e-01,-2.048598821239490775e+00
