displacement,heading_change
6.919172551510224256e-01,2.022337035175852726e+00
1.089844262783636220e+00,1.704198777103980378e+00
3.009003240985661520e-01,-1.088803912416759001e+00
9.986965128468305863e-01,-1.119729239904462714e+00
1.081109836735892227e+00,-1.441390219353577917e+00
8.842691658420649414e-01,-1.141507373105405065e+00
5.065692895437025056e-01,4.853054457662829835e-01
1.065437130320949777e+00,1.190392119557884376e+00
1.154172506392813657e+00,1.643703039844509162e+00
1.019229423580539695e+00,2.477590523660409438e+00
1.139841515698313490e+00,-2.833653279338924857e+00
1.075952247525757244e+00,-1.664337969630617531e+00
1.048754947242781510e+00,-8.270114506257305598e-01
1.141439091382409288e+00,-1.306969484688400573e-01
2.660563532427926425e-01,-6.189603728862860255e-01
8.218799743584304096e-01,-2.924583519247770713e+00
1.113285705369608358e+00,2.553009788098937527e+00
1.174058754052976106e+00,1.424111142599033153e+00
1.025799726582667493e+00,1.558506861555826628e+00
1.048508965045001018e+00,3.127455437270730609e+00
1.287022316384406118e+00,-1.672697701590714070e+00
1.503794691131941752e+00,-1.030410049100613845e+00
1.489074640466307109e+00,-3.086932055190781954e-01
1.315458305453494958e+00,9.004544677052346291e-01
1.174011896470254834e+00,2.559987664115182859e+00
8.915878442065910958e-01,-2.583981629169746164e+00
