displacement,heading_change
6.280103196919012420e-01,2.962470873552249806e+00
1.200472665027215502e+00,2.974105053672051024e+00
1.312045706041841786e+00,2.972624855449434556e+00
1.253481622795812989e+00,2.980798283605377907e+00
1.327425000048209069e+00,2.993837063793999054e+00
1.322172534273710509e+00,2.512991258751439805e+00
1.398563542281915151e+00,1.743004932205353796e+00
1.377599996463293230e+00,1.468576890588666695e+00
1.299092654075746145e+00,1.386823665303106079e+00
1.338265754751013281e+00,1.429913148942032031e+00
1.325136428089314533e+00,1.421213390353932793e+00
1.336237002269057061e+00,1.412126469182938715e+00
1.322848101791048725e+00,9.107585668599627038e-01
1.331464125807213739e+00,8.144991924033741226e-02
1.307220301555550135e+00,-2.029776309564928771e-01
1.283881052328145644e+00,-1.727913268793535295e-01
1.231829594651715931e+00,-1.199470909633536392e-01
1.415886035326560988e+00,-2.414665989511433075e-01
1.292887501196775091e+00,-1.419934400218884507e+00
1.287652363479544704e+00,-1.716247242838651710e+00
1.261484988460775947e+00,-1.713883318451491888e+00
1.301638320112745717e+00,-1.693609583433701937e+00
1.307533207563290167e+00,-1.719626651571385834e+00
1.261669485172607352e+00,-1.774256801890993884e+00
1.125222223489428686e+00,-1.164574559744784743e+00
1.193919737833211592e+00,-1.221811799931756676e-01
1.314060667341136135e+00,1.757890378797826170e-01
1.284260553037767538e+00,-5.606721468957216216e-03
1.318704801276807004e+00,-1.083245006201384308e-01
1.295128527758565129e+00,-1.302688464011978187e-01
1.276797032694635625e+00,-1.148921875078449117e-01
1.273398702529103366e+00,-1.174181139556468717e-01
1.238227189303465536e+00,-1.146674288326725161e-01
1.242674927626082670e+00,-1.183732727405084756e-01
1.261363666438668929e+00,-1.161300531981368095e-01
1.240220509047413655e+00,-9.590052978161335562e-02
1.275360373118972213e+00,-9.969358843004644255e-02
1.270983891702179625e+00,-1.150406692536420777e-01
1.238766712468256426e+00,-1.108701479731987460e-01
1.260821398365898682e+00,-9.828924643596634314e-02
1.261109969293978450e+00,-8.799700514553056296e-02
1.289316838750976357e+00,-7.281027920729939151e-02
1.328462093770784502e+00,-3.230041744514513535e-01
1.194852753576050919e+00,-1.758817602317509277e+00
1.334968107067235898e+00,-2.986073612399644972e+00
1.343453832710804319e+00,3.087143857158115345e+00
1.265534997525134653e+00,3.064749770468019108e+00
1.279144032778512408e+00,3.055181746726847170e+00
1.255891334234440881e+00,3.046877883859326452e+00
1.271960385084112355e+00,3.059275330565408346e+00
1.270220813514348679e+00,3.055172774545587888e+00
1.321797222078729517e+00,3.063877915033987875e+00
1.267084086233353890e+00,3.091420671168590761e+00
1.234587245044232562e+00,3.085864750155845826e+00
1.236540035395400805e+00,3.067616017522449390e+00
1.249485527767831394e+00,3.042161106123145053e+00
1.310662360024103634e+00,3.054980910587229648e+00
1.270446357925631764e+00,3.084193623026108000e+00
1.301363409232860535e+00,3.075966651314821831e+00
1.139245808689784756e+00,3.073805794480900300e+00
5.157459354319737788e-01,-3.132409112479733082e+00
