strideIndex,timestamp
4.270000000000000000e+02,2.134995221999999693e+00
6.150000000000000000e+02,3.074974774999999827e+00
8.950000000000000000e+02,4.474952698000000062e+00
1.145000000000000000e+03,5.724944592000000831e+00
1.375000000000000000e+03,6.874938011000000238e+00
1.627000000000000000e+03,8.134948729999999628e+00
1.854000000000000000e+03,9.269962311000000454e+00
2.114000000000000000e+03,1.056994723999999941e+01
2.368000000000000000e+03,1.183996104999999943e+01
2.581000000000000000e+03,1.290497397999999940e+01
2.850000000000000000e+03,1.424986838999999961e+01
3.082000000000000000e+03,1.540967941000000074e+01
3.335000000000000000e+03,1.667452048999999903e+01
3.571000000000000000e+03,1.785438346999999837e+01
3.827000000000000000e+03,1.913430405000000079e+01
4.046000000000000000e+03,2.022921562000000151e+01
4.317000000000000000e+03,2.158412170000000074e+01
4.668000000000000000e+03,2.333902931000000081e+01
4.893000000000000000e+03,2.446398926000000174e+01
5.143000000000000000e+03,2.571397590999999849e+01
5.394000000000000000e+03,2.696896552999999841e+01
5.585000000000000000e+03,2.792395210000000105e+01
5.843000000000000000e+03,2.921391678000000169e+01
6.095000000000000000e+03,3.047388839999999632e+01
6.321000000000000000e+03,3.160386275999999839e+01
6.553000000000000000e+03,3.276386643000000021e+01
6.808000000000000000e+03,3.403887558000000269e+01
7.026000000000000000e+03,3.512889099000000215e+01
7.283000000000000000e+03,3.641387177000000008e+01
7.517000000000000000e+03,3.758386231000000066e+01
7.783000000000000000e+03,3.891385268999999880e+01
8.027000000000000000e+03,4.013385390999999913e+01
8.302000000000000000e+03,4.150889968999999979e+01
8.548000000000000000e+03,4.273885726999999690e+01
