strideIndex,timestamp
4.840000000000000000e+02,2.425158424000000146e+00
6.190000000000000000e+02,3.100119872000000054e+00
7.790000000000000000e+02,3.900165223000000125e+00
9.340000000000000000e+02,4.675207900000000194e+00
1.094000000000000000e+03,5.475126612999999587e+00
1.254000000000000000e+03,6.275094382999999887e+00
1.419000000000000000e+03,7.099980015999999949e+00
1.564000000000000000e+03,7.825023519000000150e+00
1.709000000000000000e+03,8.550089948000000106e+00
1.853000000000000000e+03,9.269987090000000762e+00
2.009000000000000000e+03,1.004996821299999965e+01
2.145000000000000000e+03,1.072987270600000009e+01
2.309000000000000000e+03,1.154997773700000074e+01
2.464000000000000000e+03,1.232489377599999969e+01
2.624000000000000000e+03,1.312471789199999961e+01
2.779000000000000000e+03,1.389976739599999966e+01
2.934000000000000000e+03,1.467479289999999992e+01
3.084000000000000000e+03,1.542481777000000065e+01
3.244000000000000000e+03,1.622469281400000085e+01
3.399000000000000000e+03,1.699980146000000047e+01
3.539000000000000000e+03,1.769972405100000046e+01
3.694000000000000000e+03,1.847481191199999984e+01
3.844000000000000000e+03,1.922474112300000115e+01
4.003000000000000000e+03,2.001949842399999824e+01
4.159000000000000000e+03,2.079956653700000047e+01
4.319000000000000000e+03,2.159956244400000003e+01
5.116000000000000000e+03,2.558432198999999940e+01
