strideIndex,timestamp
5.290000000000000000e+02,2.649904929999999936e+00
7.640000000000000000e+02,3.824912333999999969e+00
9.990000000000000000e+02,4.999890562000000038e+00
1.274000000000000000e+03,6.374889277000000298e+00
1.479000000000000000e+03,7.399873340000000077e+00
1.749000000000000000e+03,8.749916660000000235e+00
1.989000000000000000e+03,9.949855727999999289e+00
2.239000000000000000e+03,1.119974087199999957e+01
2.459000000000000000e+03,1.229985581300000064e+01
2.719000000000000000e+03,1.359976516400000079e+01
2.954000000000000000e+03,1.477483417900000084e+01
3.184000000000000000e+03,1.592478063599999949e+01
3.439000000000000000e+03,1.719980079100000125e+01
4.199000000000000000e+03,2.099967021899999864e+01
