displacement,heading_change
1.166707531041879076e+00,-1.684822491167232483e+00
1.435502341146791538e+00,3.082419690677807189e+00
1.573973440232492083e+00,1.711447295546197678e+00
1.259131344337190983e+00,9.010331292943475345e-01
1.591131311818109184e+00,1.692401404014138577e-01
1.516855531505064247e+00,-1.178848863532186986e+00
1.261566811540911770e+00,-2.331725785194049827e+00
1.716226783323423266e+00,-3.062184081475644248e+00
1.557588225308344176e+00,1.971428069316520038e+00
1.428944849472504997e+00,5.874564100104602282e-01
1.675847312865409666e+00,1.635210727298447297e-02
1.436133060628701941e+00,-1.383781393256523717e+00
1.466504250790114039e+00,-2.156310310239563766e+00
1.554816092546978945e+00,2.828546718222193945e+00
1.314808877251628649e+00,2.303904947028190708e+00
1.579457324721658562e+00,9.176621449194660718e-01
1.365218339047945761e+00,3.927056153895847612e-01
1.606036829677655264e+00,-8.176532194952487176e-01
1.617055471792187227e+00,-1.955941019371762568e+00
1.525875210442447782e+00,-2.586337607254581616e+00
1.437232759918416036e+00,2.395008858370837324e+00
1.405714314376687923e+00,1.842749541496769394e+00
1.339869735199195500e+00,4.620537731850859475e-01
1.795807902809362755e+00,-1.063059335002779937e+00
