t,ax,ay,az,wx,wy,wz,zv
4.974371000000000001e-03,-2.313605736179999983e+00,2.480296619940000058e-01,-9.503913253849999521e+00,-4.124888218939999976e-03,8.943057619040000600e-03,-1.837979652920000186e-03,1.000000000000000000e+00
1.002166999999999988e-02,-2.312771769570000302e+00,2.335670012739999857e-01,-9.529764903460000269e+00,-6.114511284980000093e-03,1.436004880819999894e-03,-9.098942391569999136e-03,1.000000000000000000e+00
1.500319599999999989e-02,-2.276840039970000173e+00,2.394334638889999978e-01,-9.505907642539998648e+00,2.339380560439999809e-03,4.139970522369999448e-03,6.275179795920000567e-03,1.000000000000000000e+00
2.004190000000000138e-02,-2.332541176669999938e+00,2.446552719240000229e-01,-9.479013790389998917e+00,-7.041207980359999626e-03,1.723040640350000097e-02,1.719052530829999828e-02,1.000000000000000000e+00
2.501934299999999944e-02,-2.271544271649999835e+00,2.073743927340000182e-01,-9.524193825330000251e+00,5.293146241459999873e-03,1.560299098490000071e-02,-9.255267214029999200e-04,1.000000000000000000e+00
3.000171000000000088e-02,-2.269982575290000248e+00,2.393544255689999956e-01,-9.529908695850000555e+00,-5.476841703060000496e-03,-9.357316885140000212e-04,-7.384206168349999669e-03,1.000000000000000000e+00
3.504345999999999850e-02,-2.327791205659999640e+00,2.276773952460000028e-01,-9.518141101170000340e+00,-7.842635735870000929e-03,-3.444197122010000164e-03,-9.191773133350000617e-04,1.000000000000000000e+00
4.000173399999999713e-02,-2.338181520640000066e+00,2.288748431360000113e-01,-9.523660741369999627e+00,-1.641236478460000045e-03,-1.010640244929999869e-02,2.915390068670000150e-03,1.000000000000000000e+00
4.503781700000000082e-02,-2.308468519419999865e+00,2.119221008999999933e-01,-9.542539629360000220e+00,8.864902891219999734e-03,2.198413014409999859e-03,1.095652207729999952e-02,1.000000000000000000e+00
4.998620699999999778e-02,-2.265742161239999941e+00,2.250831227030000159e-01,-9.528676523710000623e+00,-1.429628301410000059e-02,-1.189979072660000102e-02,3.441375447439999971e-03,1.000000000000000000e+00
5.499133400000000282e-02,-2.325527352379999968e+00,2.636233177710000097e-01,-9.490772617250000209e+00,2.910797484219999724e-03,7.144825067369999167e-04,5.426851101220000161e-03,1.000000000000000000e+00
5.998178099999999791e-02,-2.306062335060000024e+00,2.394714212790000074e-01,-9.531247835500000321e+00,-3.528921399269999842e-03,-8.517909795050000385e-03,-9.381737327199999536e-04,1.000000000000000000e+00
6.506159200000000142e-02,-2.297412287879999848e+00,2.298463367830000104e-01,-9.532011805610000721e+00,5.513825453819998917e-03,-5.843668710439999144e-03,2.847110154109999854e-03,1.000000000000000000e+00
7.004645299999999464e-02,-2.305953175600000016e+00,2.391435775640000094e-01,-9.567169043710000764e+00,-1.840237528090000324e-02,2.055115066470000057e-02,-1.186369103380000142e-03,1.000000000000000000e+00
7.504963500000000343e-02,-2.286118448189999874e+00,2.379713006480000115e-01,-9.550315524060000172e+00,2.104811603199999766e-03,6.849257275460000384e-03,2.982654375960000492e-03,1.000000000000000000e+00
8.002946399999999461e-02,-2.304621634740000147e+00,2.622791731529999781e-01,-9.499740936600000296e+00,-1.333784218879999900e-02,-5.927025340499999335e-04,5.265790969129999569e-03,1.000000000000000000e+00
8.504858099999999810e-02,-2.338684501729999976e+00,2.263252865179999906e-01,-9.539425881259999684e+00,1.781011931599999929e-03,-1.139242760839999889e-02,1.419522333889999821e-02,1.000000000000000000e+00
8.998721599999999488e-02,-2.282974158809999654e+00,2.419280389169999879e-01,-9.517301727730000493e+00,7.909444160759998912e-03,1.590543426569999974e-02,2.201359486210000167e-03,1.000000000000000000e+00
9.504223600000000216e-02,-2.303818355530000250e+00,2.657177510339999715e-01,-9.519695344869999687e+00,6.283270195130000353e-03,-4.381704144180000558e-03,-2.025495283310000012e-03,1.000000000000000000e+00
1.000102610000000031e-01,-2.301105443309999554e+00,2.560892690050000087e-01,-9.519372104269999468e+00,1.388135831800000122e-02,6.987485103310001056e-03,8.758567273620000010e-03,1.000000000000000000e+00
1.050024100000000044e-01,-2.259760456480000013e+00,2.536084850399999979e-01,-9.525701891810001598e+00,-1.157249324020000192e-02,-1.457345671950000150e-02,5.143458023670000046e-03,1.000000000000000000e+00
1.100126730000000053e-01,-2.271940139099999811e+00,2.536831942440000431e-01,-9.526247250730000005e+00,4.150132648649999985e-03,-8.920509368180000453e-03,-3.573078662159999939e-03,1.000000000000000000e+00
1.150323639999999981e-01,-2.297329285770000062e+00,2.499901849449999991e-01,-9.546112227150000962e+00,-1.575186848640000191e-03,-5.042260978369999397e-03,-6.113578099760000328e-03,1.000000000000000000e+00
1.200644720000000054e-01,-2.298996488330000254e+00,2.180147004210000183e-01,-9.522534952210000014e+00,2.950989175590000221e-03,6.332945078610000000e-03,1.117502572009999948e-03,1.000000000000000000e+00
