t,ax,ay,az,wx,wy,wz,zv
5.001595999999999646e-03,-2.519692664649999969e+00,5.839620273140000428e-02,-9.468467261939998991e+00,-3.392907092350000171e-03,6.160785444079999555e-03,1.683481968939999868e-04,1.000000000000000000e+00
1.017756400000000006e-02,-2.484382574080000072e+00,7.019655347330000517e-02,-9.470380402079999982e+00,2.651796210560000092e-03,6.773818284270000795e-03,-2.312892582269999997e-03,1.000000000000000000e+00
1.514419200000000076e-02,-2.500897071029999807e+00,4.048641549880000606e-02,-9.474434645910001507e+00,6.136454176159999302e-03,-6.252327002579999814e-03,-5.165621638300000110e-03,1.000000000000000000e+00
2.016321000000000085e-02,-2.494300449240000273e+00,2.600703425640000024e-02,-9.494846734819999412e+00,1.600824063640000211e-03,-1.348571572450000047e-02,-7.258779369289999547e-03,1.000000000000000000e+00
2.504077299999999881e-02,-2.523328975330000112e+00,5.715874249149999892e-02,-9.475510750710000707e+00,-4.374672193080000361e-03,-1.212606788609999972e-03,-2.809160156180000138e-03,1.000000000000000000e+00
3.018606000000000067e-02,-2.525046300640000130e+00,7.762829720949999956e-02,-9.448127069219999896e+00,1.673417724670000009e-02,-1.220172503960000087e-03,8.933986537160001689e-04,1.000000000000000000e+00
3.515694800000000036e-02,-2.519807815470000101e+00,3.102455874100000163e-02,-9.471731232170000681e+00,-2.578822663050000467e-03,-4.752106964589999753e-03,3.338291542599999828e-03,1.000000000000000000e+00
4.014476399999999945e-02,-2.492273619590000155e+00,7.743797140230000708e-02,-9.460717670720001138e+00,-2.762289950620000056e-03,-2.973920665679999960e-03,1.902673160659999968e-03,1.000000000000000000e+00
4.510401599999999678e-02,-2.523871411640000062e+00,5.749234466030000990e-02,-9.442886830479999105e+00,-4.770977888260000306e-03,-7.904516533019999985e-03,-6.423820741469999989e-04,1.000000000000000000e+00
5.019786600000000071e-02,-2.491407650409999786e+00,5.013394928809999235e-02,-9.451209837669999558e+00,4.390953108670000472e-03,5.186507478359999104e-03,1.540294149890000146e-03,1.000000000000000000e+00
5.505357400000000095e-02,-2.523731710909999926e+00,8.931520960560002109e-02,-9.476531910449999430e+00,2.533190650870000091e-03,5.368976853790000201e-04,-8.619122672829999292e-04,1.000000000000000000e+00
6.016504899999999822e-02,-2.517268067849999902e+00,3.092369674900000143e-02,-9.485870816680000317e+00,9.340004995469998808e-03,3.859629854559999858e-03,-2.782520838079999628e-03,1.000000000000000000e+00
6.522263600000000050e-02,-2.527508599099999920e+00,4.771296921879999986e-02,-9.474914538380000195e+00,3.002368845050000078e-03,-4.921067506069999598e-03,-5.429368466140000252e-03,1.000000000000000000e+00
7.015838400000000419e-02,-2.544859546870000155e+00,7.630026804269998686e-02,-9.463659569389998083e+00,-7.347100879999999591e-03,-4.189973697070000294e-03,8.952756412329999219e-03,1.000000000000000000e+00
7.503079199999999893e-02,-2.487954879610000170e+00,3.809402905309999809e-02,-9.478978134560000157e+00,6.469064392149999169e-03,1.052259933200000181e-03,-4.184897057709999896e-03,1.000000000000000000e+00
7.996735700000000280e-02,-2.546817987469999878e+00,7.024932940669999237e-02,-9.476664596919999184e+00,1.102813798929999818e-02,1.448725908989999950e-02,9.910131804650000251e-03,1.000000000000000000e+00
8.517510799999999938e-02,-2.499023093849999988e+00,7.291226500569999991e-02,-9.443319376679999877e+00,-2.051662653679999990e-03,1.828139182180000145e-03,3.124799113720000041e-04,1.000000000000000000e+00
9.002058400000000071e-02,-2.484808690540000420e+00,5.703261819410000016e-02,-9.483156297029999848e+00,7.607811596239999995e-03,3.996551036829999216e-03,-6.348312832420000169e-03,1.000000000000000000e+00
9.512666699999999809e-02,-2.507707043309999495e+00,3.924207799349999776e-02,-9.483758939089998563e+00,1.067325472829999851e-02,1.732287555930000014e-02,-9.409294463689999929e-03,1.000000000000000000e+00
1.001351679999999966e-01,-2.520893272609999958e+00,1.038163209060000008e-01,-9.439239413890000208e+00,1.463469862939999894e-02,-7.527931593360000966e-04,3.344323486090000240e-04,1.000000000000000000e+00
1.051356259999999959e-01,-2.529783266029999922e+00,3.813413501790000049e-02,-9.470873154039999520e+00,1.004686113449999862e-02,3.165442030880000028e-03,1.280699763449999994e-02,1.000000000000000000e+00
1.101466470000000003e-01,-2.447268941219999938e+00,6.510907587490000203e-02,-9.499598313260001703e+00,2.456037094820000266e-03,-6.486955564470000234e-03,2.300104824830000172e-03,1.000000000000000000e+00
1.151553649999999956e-01,-2.485556294029999780e+00,6.925485674299999839e-02,-9.446201069589999832e+00,-9.652820415790000844e-03,-6.130567751820000313e-03,-5.047296173869999722e-03,1.000000000000000000e+00
1.200237940000000031e-01,-2.487644206220000154e+00,3.331262857900000457e-02,-9.475781968859999793e+00,-1.144427713010000118e-02,-1.499773934479999872e-04,-1.105760037900000055e-02,1.000000000000000000e+00
1.251264450000000028e-01,-2.548511347379999847e+00,6.547484501389999600e-02,-9.480101585630000827e+00,4.377745091919999984e-03,-1.440529804679999831e-02,2.023766050119999924e-03,1.000000000000000000e+00
