t,ax,ay,az,wx,wy,wz,zv
5.106704000000000104e-03,-3.876165433780000225e+00,-9.585407880230000233e-01,-8.940461624719999278e+00,-1.070308592170000038e-02,1.196494884789999977e-02,4.878205247219999721e-03,1.000000000000000000e+00
1.014153999999999924e-02,-3.897413973509999963e+00,-9.717501790120000038e-01,-8.953587063749999686e+00,2.115117851639999966e-03,-4.776643589140000361e-03,1.154849957670000225e-02,1.000000000000000000e+00
1.506232599999999915e-02,-3.857334184319999970e+00,-9.540128622700001504e-01,-8.960071749600000857e+00,6.857136730100000209e-03,6.071778479959998942e-04,4.630520008500000131e-03,1.000000000000000000e+00
2.012249400000000119e-02,-3.886219502539999926e+00,-1.049002272450000106e+00,-8.951486876599998865e+00,7.915737107399999431e-03,2.219606656579999841e-03,-5.304797086860000080e-04,1.000000000000000000e+00
2.503640700000000011e-02,-3.869722248990000057e+00,-1.074669140090000141e+00,-8.882868682929998982e+00,-7.014298345889999342e-03,-1.923956535759999836e-02,-7.945403922350000600e-04,1.000000000000000000e+00
2.995170600000000155e-02,-3.863433085719999660e+00,-1.008770653700000075e+00,-8.968950637100000733e+00,-5.116782849649999503e-04,1.872802618890000246e-03,-9.336654096840001082e-03,1.000000000000000000e+00
3.500884600000000318e-02,-3.949806424049999709e+00,-9.231544173430000777e-01,-8.986418489249999197e+00,5.159148480739999577e-03,4.249460063869999610e-03,7.928671315310000314e-03,1.000000000000000000e+00
4.006271599999999822e-02,-3.886448050599999871e+00,-9.073199385479999712e-01,-8.941348928949999220e+00,-6.756343645969999871e-04,4.730007611220000442e-03,-4.476528614760000302e-03,1.000000000000000000e+00
4.516308599999999812e-02,-3.900059811849999836e+00,-9.622794630949998984e-01,-8.960677314279999806e+00,-1.243961416179999863e-02,1.282712630930000000e-02,1.169932307680000014e-03,1.000000000000000000e+00
5.022517399999999743e-02,-3.854342601289999948e+00,-9.395316247139999799e-01,-8.941870907000000201e+00,8.759533055129999427e-03,1.435589045290000011e-02,-1.444668229670000026e-02,1.000000000000000000e+00
5.505861000000000088e-02,-3.912585531419999541e+00,-9.857591228820000717e-01,-8.932536092419999463e+00,-5.197057500479999176e-03,-3.472641343249999873e-03,-1.171807199720000144e-02,1.000000000000000000e+00
6.002693399999999707e-02,-3.936716348590000081e+00,-9.884208894370000165e-01,-8.955844487289999378e+00,2.046881243589999694e-03,-9.208979085090000100e-03,1.485106814649999989e-02,1.000000000000000000e+00
6.512382699999999525e-02,-3.847765853249999868e+00,-9.644516195020000904e-01,-8.941260081619999411e+00,-1.265373639759999856e-02,-9.892925620079999829e-03,-1.164527516809999927e-02,1.000000000000000000e+00
7.012078700000000386e-02,-3.907841844030000455e+00,-9.692535398909999378e-01,-8.935992370350000158e+00,-5.478149745609999823e-03,1.162135601039999792e-02,5.267544649539999783e-03,1.000000000000000000e+00
7.516415999999999376e-02,-3.879916895269999610e+00,-9.834056916230000667e-01,-8.939432866189999771e+00,5.639249458910000103e-03,2.117776311930000092e-03,-1.353059988469999982e-02,1.000000000000000000e+00
8.013445099999999544e-02,-3.920232539040000574e+00,-9.882488938710000115e-01,-8.943393002000000536e+00,9.428443387149999452e-03,-1.650588586930000143e-02,-4.498939029870000113e-03,1.000000000000000000e+00
