t,ax,ay,az,wx,wy,wz,zv
5.166664999999999973e-03,-2.735491716579999899e+00,3.703153311110000123e-01,-9.390835740720000047e+00,-8.040866814550001046e-03,2.601722488179999786e-03,5.720311310140000112e-03,1.000000000000000000e+00
1.026104299999999921e-02,-2.701777955290000310e+00,3.340645621539999888e-01,-9.447288280309999564e+00,-5.939402617510000475e-03,5.371945444490000511e-04,6.567560601979999767e-03,1.000000000000000000e+00
1.535042900000000050e-02,-2.677550399749999865e+00,3.364764456019999628e-01,-9.450396183200000522e+00,-1.121275778859999982e-02,1.653419621290000072e-02,-1.346183009450000086e-02,1.000000000000000000e+00
2.033135999999999971e-02,-2.711801921179999741e+00,3.996909536009999875e-01,-9.419406586170000040e+00,-2.089062472810000065e-04,8.441755548119999480e-03,-2.653840463609999974e-03,1.000000000000000000e+00
2.533406599999999884e-02,-2.692292626329999994e+00,3.482970491140000013e-01,-9.449922720469999149e+00,-2.463714918120000368e-04,1.050599757579999925e-02,-4.088649991900000259e-03,1.000000000000000000e+00
3.032972399999999888e-02,-2.678522751909999666e+00,3.743822882889999981e-01,-9.456297516190000252e+00,8.843580260870001139e-03,-1.156946457920000199e-02,-8.678977377709999608e-03,1.000000000000000000e+00
3.536445099999999814e-02,-2.745808235680000209e+00,3.461810433399999942e-01,-9.428962934539999452e+00,1.190839335320000025e-02,-6.188636645670000068e-03,5.592257250100000389e-03,1.000000000000000000e+00
4.035051500000000346e-02,-2.732984702200000449e+00,3.699289621419999952e-01,-9.430548157909999674e+00,1.087494660170000051e-02,-3.275313880290000364e-03,1.718044839799999848e-02,1.000000000000000000e+00
4.537310800000000227e-02,-2.753300344999999982e+00,3.413620622190000065e-01,-9.449455687480000421e+00,1.137087494129999932e-02,4.151920787989999556e-03,1.873468793929999876e-02,1.000000000000000000e+00
5.025040599999999746e-02,-2.664364462700000047e+00,3.427667779169999984e-01,-9.407709134110000093e+00,4.213354550299999897e-03,3.282679477709999748e-03,-4.246646072719999915e-03,1.000000000000000000e+00
5.520268500000000134e-02,-2.746461731150000141e+00,3.332099180860000343e-01,-9.415759754099999768e+00,7.587882224469999666e-03,7.918995805079999048e-03,1.059549115599999966e-02,1.000000000000000000e+00
6.035961399999999893e-02,-2.709429639090000563e+00,3.190599217789999997e-01,-9.394668450750000233e+00,-4.677662625910000010e-03,-4.227138590069999882e-03,1.501013338570000161e-02,1.000000000000000000e+00
6.521993299999999383e-02,-2.677739492579999769e+00,3.489435303239999953e-01,-9.389287342239999390e+00,7.305630017069999517e-03,-2.256585983560000126e-03,-1.112182252109999991e-02,1.000000000000000000e+00
7.025727199999999562e-02,-2.738820276489999817e+00,3.115138537809999941e-01,-9.444538104819999447e+00,-3.433236386630000251e-03,9.923704899850000274e-03,5.094034131620000377e-03,1.000000000000000000e+00
7.527660199999999802e-02,-2.725679932139999817e+00,3.597640534150000069e-01,-9.377336792199999493e+00,-1.299839816060000073e-03,-3.815094940359999715e-03,1.680426765230000081e-03,1.000000000000000000e+00
8.039973100000000206e-02,-2.676883168009999814e+00,3.213629014909999970e-01,-9.401948086370000013e+00,1.528969127679999894e-02,1.670305989679999811e-02,-8.658490143719999033e-03,1.000000000000000000e+00
8.522234200000000648e-02,-2.697042743459999503e+00,3.237173921959999867e-01,-9.407721409069999652e+00,-2.398002427070000230e-03,1.049681752920000183e-02,-1.237043738370000208e-02,1.000000000000000000e+00
9.037923999999999958e-02,-2.673068285899999896e+00,3.332281843950000155e-01,-9.393333987280000130e+00,-7.100484333930000627e-03,1.073414273560000139e-02,-9.906383231279999868e-03,1.000000000000000000e+00
9.521538300000000066e-02,-2.759157838849999766e+00,3.403651966680000251e-01,-9.423466675220000255e+00,-2.407316118480000173e-03,-1.995698548849999913e-03,-7.463614456359999628e-04,1.000000000000000000e+00
